City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ilulissat,69.2167,-51.1,4.01,100,100,2.06,GL,1689535893
1,kudahuvadhoo,2.6708,72.8944,28.2,76,61,4.58,MV,1689535894
2,grytviken,-54.2811,-36.5092,-5.85,70,18,2.11,GS,1689535894
3,slatyne,50.2242,36.1608,17.22,75,0,3.48,UA,1689535894
4,wajir,1.7471,40.0573,27.58,42,34,8.94,KE,1689535341
5,punta arenas,-53.15,-70.9167,3.06,87,75,1.54,CL,1689535895
6,sitka,57.0531,-135.33,15.94,88,100,2.57,US,1689535895
7,gorontalo,0.5412,123.0595,23.64,94,100,2.37,ID,1689535896
8,blackmans bay,-43.0167,147.3167,12.07,66,31,6.08,AU,1689535897
9,sirajganj,24.45,89.7167,27.8,84,90,4.81,BD,1689535897
10,invercargill,-46.4,168.35,8.37,86,73,6.19,NZ,1689535897
11,ribeira grande,38.5167,-28.7,22.22,64,40,5.14,PT,1689535898
12,mammoth lakes,37.6485,-118.9721,31.25,13,0,1.79,US,1689535898
13,santo antonio,-6.3106,-35.4789,25.5,71,37,5.82,BR,1689535899
14,san antonio de pale,-1.4014,5.6325,23.08,80,6,5.07,GQ,1689535899
15,matai,-8.3,31.5167,17.69,61,0,3.03,TZ,1689535899
16,hammerfest,70.6634,23.6821,19.25,55,0,7.2,NO,1689535399
17,tumayr,25.7039,45.868,33.63,7,0,4.51,SA,1689535900
18,yuzhno-kurilsk,44.0306,145.8556,13.0,93,100,0.69,RU,1689535900
19,puerto baquerizo moreno,-0.9,-89.6,27.55,74,40,5.66,EC,1689535901
20,hawaiian paradise park,19.5933,-154.9731,26.69,81,40,2.06,US,1689535901
21,puerto colombia,10.9878,-74.9547,30.05,75,98,7.48,CO,1689535901
22,carnarvon,-24.8667,113.6333,15.31,55,0,5.17,AU,1689535902
23,whitehorse,60.7161,-135.0538,22.83,40,20,4.63,CA,1689535664
24,luba,3.4568,8.5547,25.94,87,50,3.35,GQ,1689535903
25,touros,-5.1989,-35.4608,27.45,68,15,7.66,BR,1689535781
26,kokpekty,48.75,82.4,18.87,39,0,2.7,KZ,1689535903
27,aldama,22.9167,-98.0667,34.72,35,0,6.3,MX,1689535904
28,weno,7.4515,151.8468,27.97,83,100,4.12,FM,1689535904
29,ribeira brava,32.65,-17.0667,24.28,69,62,2.59,PT,1689535904
30,kodiak,57.79,-152.4072,13.73,77,100,3.6,US,1689535904
31,atafu village,-8.5421,-172.5159,28.66,74,63,6.78,TK,1689535905
32,tiksi,71.6872,128.8694,4.81,92,100,2.83,RU,1689535905
33,crane,31.3974,-102.3501,37.59,16,24,5.33,US,1689535906
34,waitangi,-43.9535,-176.5597,9.9,83,100,14.6,NZ,1689535906
35,albany,42.6001,-73.9662,28.23,79,100,2.3,US,1689535652
36,ushuaia,-54.8,-68.3,3.81,65,20,1.54,AR,1689535907
37,adamstown,-25.066,-130.1015,20.79,79,100,3.15,PN,1689535778
38,nyurba,63.2842,118.3319,6.96,80,77,2.01,RU,1689535907
39,tolanaro,-25.0319,46.9987,21.04,73,20,7.2,MG,1689535908
40,fale old settlement,-9.3852,-171.2468,28.42,75,45,7.19,TK,1689535908
41,kruisfontein,-34.0033,24.7314,11.6,56,63,1.84,ZA,1689535908
42,'ain el melh,34.8415,4.1638,30.43,10,0,4.1,DZ,1689535909
43,anadyr,64.75,177.4833,19.28,59,0,1.0,RU,1689535909
44,port mathurin,-19.6833,63.4167,23.2,70,11,11.98,MU,1689535909
45,kavieng,-2.5744,150.7967,27.82,76,98,2.74,PG,1689535910
46,lupane,-18.9315,27.807,11.28,41,0,3.12,ZW,1689535911
47,puerto natales,-51.7236,-72.4875,6.25,56,75,7.72,CL,1689535911
48,kailua-kona,19.6406,-155.9956,27.93,76,20,3.09,US,1689535911
49,chernyshevsk,52.5243,117.0174,16.52,67,0,1.18,RU,1689535912
50,udachny,66.4167,112.4,10.25,57,99,3.0,RU,1689535912
51,qingyuan,23.7,113.0333,27.99,92,100,2.81,CN,1689535913
52,huanggang,23.677,116.9996,26.94,93,87,3.9,CN,1689535645
53,nephi,39.7102,-111.8363,35.71,9,0,3.89,US,1689535914
54,east london,-33.0153,27.9116,17.3,52,70,1.87,ZA,1689535914
55,kashgar,39.4547,75.9797,30.56,21,94,4.0,CN,1689535915
56,viriat,46.2548,5.2157,24.26,74,88,1.39,FR,1689535915
57,badger,64.8,-147.5333,20.07,67,75,1.54,US,1689535915
58,talnakh,69.4865,88.3972,5.67,90,100,1.64,RU,1689535916
59,pakxan,18.3778,103.6601,24.62,97,100,1.59,LA,1689535916
60,zeya,53.75,127.2667,18.57,69,5,1.56,RU,1689535916
61,yuxi,24.355,102.5422,15.47,89,12,2.01,CN,1689535917
62,kuala terengganu,5.3302,103.1408,26.97,94,20,0.51,MY,1689535741
63,villa yapacani,-17.4,-63.8333,26.05,58,90,1.44,BO,1689535917
64,saint-philippe,-21.3585,55.7679,22.77,86,59,5.92,RE,1689535918
65,arkhangel'sk,64.5401,40.5433,16.01,78,88,1.86,RU,1689535918
66,yenotayevka,47.2456,47.0281,21.22,59,87,6.21,RU,1689535919
67,laojunmiao,39.8333,97.7333,22.94,24,0,3.46,CN,1689535919
68,along,28.1667,94.7667,23.45,100,100,0.81,IN,1689535919
69,walvis bay,-22.9575,14.5053,21.53,26,0,1.03,NA,1689535920
70,port-aux-francais,-49.35,70.2167,1.97,54,96,12.79,TF,1689535920
71,dudinka,69.4058,86.1778,5.9,78,99,3.54,RU,1689535920
72,isafjordur,66.0755,-23.124,10.05,58,19,3.48,IS,1689535921
73,port alfred,-33.5906,26.891,16.63,54,44,3.52,ZA,1689535921
74,dayrut,27.556,30.8076,33.75,15,5,4.32,EG,1689535921
75,tucuma,-0.1833,-50.05,30.3,62,12,4.38,BR,1689535283
76,codrington,-38.2667,141.9667,5.32,93,3,4.78,AU,1689535922
77,alice springs,-23.7,133.8833,4.75,100,3,1.03,AU,1689535848
78,geraldton,-28.7667,114.6,4.23,87,0,3.6,AU,1689535923
79,college,64.8569,-147.8028,20.11,70,100,1.54,US,1689535924
80,barabai,-2.5833,115.3833,22.63,90,89,0.8,ID,1689535924
81,el calafate,-50.3408,-72.2768,-1.93,72,7,1.65,AR,1689535924
82,chimore,-16.9833,-65.1333,26.66,57,90,0.58,BO,1689535925
83,dompu,-8.5356,118.4622,22.91,94,83,1.45,ID,1689535925
84,longyearbyen,78.2186,15.6401,10.91,76,0,5.66,SJ,1689535926
85,nova vicosa,-17.8919,-39.3719,23.44,75,73,3.92,BR,1689535926
86,namtsy,62.7161,129.6658,8.61,74,9,1.43,RU,1689535926
87,arraial do cabo,-22.9661,-42.0278,25.98,65,0,4.63,BR,1689535927
88,keflavik,64.0049,-22.5624,13.95,54,0,9.77,IS,1689535927
89,bethel,41.3712,-73.414,25.47,88,100,0.45,US,1689535928
90,avarua,-21.2078,-159.775,23.03,68,100,0.51,CK,1689535928
91,oyama,36.3,139.8,24.64,72,11,1.28,JP,1689535929
92,shwebo,22.5667,95.7,28.04,71,82,1.84,MM,1689535929
93,new norfolk,-42.7826,147.0587,12.73,68,63,4.92,AU,1689535929
94,georgetown,5.4112,100.3354,27.96,85,20,1.03,MY,1689535741
95,kismayo,-0.3582,42.5454,24.97,80,100,7.64,SO,1689535930
96,edinburgh of the seven seas,-37.0676,-12.3116,12.97,77,10,12.77,SH,1689535931
97,hamilton,39.1834,-84.5333,30.14,59,0,4.63,US,1689535735
98,thompson,55.7435,-97.8558,15.09,72,100,2.06,CA,1689535931
99,malvan,16.0667,73.4667,26.65,85,100,4.48,IN,1689535932
100,daru,-9.0763,143.2092,24.21,87,93,5.61,PG,1689535932
101,susuman,62.7833,148.1667,16.42,68,97,1.51,RU,1689535932
102,fort mcmurray,56.7268,-111.381,23.77,46,20,5.14,CA,1689535811
103,vorgashor,67.5833,63.95,14.41,90,87,2.27,RU,1689535933
104,petropavlovsk-kamchatsky,53.0452,158.6483,10.33,100,100,1.0,RU,1689535934
105,kapa'a,22.0752,-159.319,28.18,74,75,6.17,US,1689535934
106,napier,-39.4833,176.9167,7.93,81,23,1.79,NZ,1689535935
107,margaret river,-33.95,115.0667,15.37,84,61,6.29,AU,1689535935
108,queenstown,-31.8976,26.8753,10.44,45,51,2.23,ZA,1689535935
109,hood river,45.7054,-121.5215,36.86,37,0,4.02,US,1689535936
110,hato mayor del rey,18.7628,-69.2568,31.78,53,100,3.73,DO,1689535936
111,nova sintra,14.8667,-24.7167,23.08,84,98,3.29,CV,1689535937
112,yellowknife,62.456,-114.3525,22.29,49,75,6.17,CA,1689535772
113,rongelap,11.1635,166.8941,28.21,75,94,6.27,MH,1689535275
114,tralee,52.2704,-9.7026,12.79,89,99,4.75,IE,1689535887
115,mabaruma,8.2,-59.7833,30.09,64,38,2.78,GY,1689535938
116,iqaluit,63.7506,-68.5145,9.85,87,100,3.6,CA,1689535813
117,sungailiat,-1.85,106.1333,26.34,85,51,5.24,ID,1689535389
118,bilibino,68.0546,166.4372,23.39,40,10,1.9,RU,1689535939
119,constantia,44.1833,28.65,23.38,68,0,4.52,RO,1689535804
120,midvagur,62.0511,-7.1939,9.46,87,100,5.66,FO,1689535940
121,antsiranana,-12.2787,49.2917,22.77,80,14,4.6,MG,1689535940
122,taoudenni,22.6783,-3.9836,39.75,21,19,6.08,ML,1689535941
123,nowshahr,36.649,51.496,28.97,74,75,1.03,IR,1689535941
124,torghay,49.6339,63.4981,25.36,32,100,4.27,KZ,1689535942
125,uturoa,-16.7333,-151.4333,25.7,67,1,3.61,PF,1689535942
126,paracuru,-3.41,-39.0306,27.28,72,58,6.61,BR,1689535942
127,cooper's town,26.8667,-77.5167,29.31,76,100,5.47,BS,1689535943
128,valparaiso,-33.0393,-71.6273,18.13,59,0,5.14,CL,1689535734
129,tobelo,1.7284,128.0095,24.51,91,100,1.69,ID,1689535944
130,la sarre,48.8002,-79.1996,25.78,41,36,1.98,CA,1689535944
131,urucara,-2.5364,-57.76,34.56,38,100,1.79,BR,1689535945
132,nemuro,43.3236,145.575,12.92,94,100,3.36,JP,1689535945
133,abergavenny,51.821,-3.0174,17.23,85,3,5.45,GB,1689535945
134,akkol',48.7833,53.2,18.95,69,100,7.54,KZ,1689535946
135,mount isa,-20.7333,139.5,19.87,60,100,2.06,AU,1689535946
136,pumiao,22.75,108.4833,30.22,64,100,3.37,CN,1689535397
137,almeirim,-1.5233,-52.5817,31.38,53,65,1.75,BR,1689535947
138,serenje,-13.2325,30.2352,11.43,65,2,3.01,ZM,1689535947
139,miquelon,47.0975,-56.3814,18.0,98,97,3.32,PM,1689535948
140,yeed,4.55,43.0333,26.52,50,49,5.45,SO,1689535948
